facility_name,responsible_emitter,state,industry,erc_fy2024_25,baseline_t,covered_emissions_t,commodity_group
South West Queensland Pipeline,APA (SWQP) PTY LIMITED,QLD; SA,Pipeline and other transport (502),0.902,124644,140864,other
South West Synthetic Rutile Operations,Iluka Resources Limited,WA,Metal ore mining (080),0.902,238856,285198,mineral_sands
Spring Gully Reedy Creek Combabula,ORIGIN ENERGY UPSTREAM OPERATOR PTY LTD,QLD,Oil and gas extraction (070),0.902,422811,316959,lng
Start up and Operations of the Ichthys LNG Project,INPEX Operations Australia Pty Ltd,NT,Oil and gas extraction (070),0.902,6322859,6255335,lng
Sunrise Dam,AngloGold Ashanti Australia Limited,WA,Metal ore mining (080),0.902,137390,163952,gold
TAHMOOR COAL MINE,TAHMOOR COAL PTY LTD,NSW,Coal mining (060),0.902,731110,757886,coal
Telfer Gold Mine,Newcrest Mining Limited,WA,Metal ore mining (080),0.902,143577,119821,gold
Telfer Gold Mine,GREATLAND HOLDINGS GROUP PTY LTD,WA,Metal ore mining (080),0.902,192357,261212,gold
Thunderbox Operations,NORTHERN STAR (THUNDERBOX) PTY LTD,WA,Metal ore mining (080),0.902,180197,190387,gold
Tom Price Mine / WTS,Hamersley Iron Pty. Limited,WA,Metal ore mining (080),0.902,138056,172874,iron_ore
Tomago Aluminium Smelter,TOMAGO ALUMINIUM COMPANY PTY LTD,NSW,Basic non-ferrous metal manufacturing (213),0.902,1030974,1087025,aluminium
Tropicana Gold Mine,AngloGold Ashanti Australia Limited,WA,Metal ore mining (080),0.902,285439,280553,gold
TT-Line - Victorian Operation,TT-Line Company Pty. Ltd.,VIC,Water passenger transport (482),0.902,112369,154713,other
United Coal Mine,UNITED COLLIERIES PTY LTD,NSW,Coal mining (060),0.902,270767,488260,coal
V/Line,V/Line Corporation,VIC,Rail passenger transport (472),0.902,168013,151324,other
Vales Point Power Station,Delta Power & Energy Pty Ltd,NSW,Coal mining (060),0.902,485087,563387,coal
Varanus Hub,Santos Limited,WA,Oil and gas extraction (070),0.902,227595,312681,gas_west
